,xpos,ypos,zpos,zrot,yrot,xrot,body parts
0,0.13547481621919186,0.0009701232542598792,0.3385133326751442,0.13822163220352818,0.5788367282526962,0.4455457894673885,Hips
1,1.2621774483536189e-27,5.965760595733902e-30,6.039716305598372e-31,0.23716073360629805,2.315647900025513,0.01595680110835648,RightHip
2,9.663546088957395e-30,2.4435755400126062e-26,1.553378055944969e-29,0.018399957087108447,1.7340087893633804,0.36306242517272513,RightKnee
3,5.048709793414476e-29,1.068306992286503e-25,2.279808016088724e-28,0.10746729128415651,0.5084960148320794,0.00046589086379178755,RightAnkle
4,7.703719777548943e-30,1.742593739633215e-27,9.119232064354896e-28,6.0148092306224605e-22,1.740767020379798e-21,7.143746826302854e-22,RightToe
5,1.2621774483536189e-27,1.0366125332669858e-29,6.039716305598372e-31,0.23361610732179153,0.3234701824348534,0.04738063541638406,LeftHip
6,9.663546088957395e-30,2.4435755400126062e-26,1.553378055944969e-29,0.019175764052434593,0.6053469315255401,0.5624347823818644,LeftKnee
7,5.048709793414476e-29,1.068306992286503e-25,2.279808016088724e-28,0.15860780468918767,0.28226095959398706,0.00045577749975214986,LeftAnkle
8,4.2185569501858014e-30,2.8398992587956425e-27,2.473867798773093e-27,7.826424608615762e-22,2.143813987641507e-21,8.67574328038754e-22,LeftToe
9,6.240013019814644e-32,4.089454932665725e-27,1.692711865184094e-36,0.1763913695139414,0.16708674101401802,0.09617879830141557,Chest1
10,4.250534475183233e-32,0.0,6.240013019814644e-32,0.007971959274829922,0.008721609781364518,0.002424649203769289,Chest2
11,3.68587078079442e-32,3.0323813196695694e-27,4.930380657631324e-30,0.008000080952385042,0.008808514380814083,0.002471804696589587,Chest3
12,2.279808016088724e-28,9.119232064354896e-28,1.560003254953661e-32,33.04238769067693,0.12991886490202306,16.216277411636142,RightCollar
13,3.1554436208840472e-30,4.649042167497398e-28,1.0503882328745318e-30,50.52572115357292,121.05327450358655,766.3919965425198,RightShoulder
14,1.0223637331664313e-27,0.0,5.965760595733902e-30,526.5228589732538,91.91356759189873,1434.4426296518602,RightElbow
15,8.077935669463161e-28,1.5154520809010312e-29,8.004815152194501e-29,1.5587260107331263e-20,3.977630308764665e-20,1.1906174173459143e-20,RightForeArm
16,0.009385364297914197,0.0011520267951672456,0.00741340810489181,116.17140542920791,11.928880481591046,156.31092249080672,RightWrist
17,0.0009081964959416627,0.014271834304774885,0.005929834986613296,24.815486599612925,195.29564818916077,11.552261241691815,RightThumb1
18,0.00033589636736653874,0.0011975952821075514,0.015047659521854759,1.5818526704711193,19.336986990025466,105.47107999817497,RightThumb2
19,0.0008993915174749414,0.0004861675437641261,0.002158151688089506,0.20879142922106508,21.043605174527766,167.84476255304094,RightThumb3
20,1.8952383247934809e-28,1.3019286424057714e-31,1.601880675664417e-28,3.8804777647400434e-19,2.1013462667344988e-18,3.6086608482333116e-19,RightIndex0
21,0.07277442878916321,0.014130379166433022,0.01302262915242351,430.1085987032499,18.307143397273016,6.682137182844088,RightIndex1
22,0.02865879030575485,0.011797934541784589,0.0001884103549240271,1504.8022710858772,3.265325241725184,9.353866003717918,RightIndex2
23,0.01778753280808562,0.0044904543002715815,2.245073236211941e-05,127.29913098662051,0.6694693233870583,0.6699084084588481,RightIndex3
24,1.8952383247934809e-28,1.3589361687596336e-30,4.345379437023701e-33,3.8804777647400434e-19,2.1013462667344988e-18,3.6086608482333116e-19,RightMiddle0
25,0.029726417448815042,0.07820061050837222,0.0068077329648148985,530.0990364904078,26.355416909721463,11.743692974018776,RightMiddle1
26,0.10399474385943451,0.023710523486283015,0.0008874514347937583,944.6589280880202,2.281643030480634,38.9216482926739,RightMiddle2
27,0.006799859868778354,0.0005171383710171779,8.632664540366692e-05,106.46412054030513,1.354984669864835,0.26735420037083146,RightMiddle3
28,3.155443620884047e-28,2.5915313331674646e-30,3.332937324558775e-29,3.8804777647400434e-19,2.1013462667344988e-18,3.6086608482333116e-19,RightRing0
29,0.35871527041378254,0.12158400984259102,0.009409336567642514,807.727706651392,23.858779235824453,5.039660786676564,RightRing1
30,0.02057609069499624,0.11977595931782756,0.0011350127600592225,1594.2744986403331,15.998296396197224,40.97206421479576,RightRing2
31,0.029086306539916857,0.0007210129181306708,0.000614471932269183,271.0795376853876,11.959159238265356,4.220702212074106,RightRing3
32,1.232595164407831e-28,2.5915313331674646e-30,4.735137583589123e-28,3.8804777647400434e-19,2.1013462667344988e-18,3.6086608482333116e-19,RightPinky0
33,0.04213320344656186,0.012282598425309097,0.0033428894873118713,682.9317141814633,27.740190782279917,23.20766056509291,RightPinky1
34,0.0027171706361000364,0.01223060489124491,0.0003627337866079508,896.1442081927021,12.272162384155143,53.71448740397032,RightPinky2
35,0.005511457384524615,0.0006089620000573586,0.0004908681587931955,230.8996810291765,7.044838945160269,31.68258988482896,RightPinky3
36,2.279808016088724e-28,6.1089388500315154e-27,2.5470423514521194e-32,0.12767997709560341,0.021506829449441822,1.0752849755993152,LeftCollar
37,3.1554436208840472e-30,4.4048177394193795e-28,1.165788197208561e-30,0.13838675207850956,0.7146413955842053,0.30015347877167264,LeftShoulder
38,1.0223637331664313e-27,6.240013019814644e-32,5.965760595733902e-30,0.040770488743544456,0.8281171530417676,1.8886583500636633,LeftElbow
39,8.077935669463161e-28,9.162154399646456e-30,2.7828160493184956e-30,1.3345581035397767e-20,5.596114650603866e-21,7.174374818428198e-21,LeftForeArm
40,5.4753313665615036e-05,1.1757833915991216e-05,4.3625953002620744e-05,0.21767952614955507,0.04697032243960224,0.47464526029102155,LeftWrist
41,1.619553929000686e-05,2.1368082477902593e-05,8.51091607174691e-06,1.0800291897401937,0.9294737924204522,1.2692005181041128,LeftThumb1
42,4.056045350769927e-07,1.676616336743553e-05,0.0001454586869583698,2.1773350654728e-06,0.08291501053465145,0.3797125924553018,LeftThumb2
43,5.547887445436738e-09,2.7561883730426773e-08,6.798245802437182e-07,0.018642387231279728,0.01157301005567114,0.26966333211869764,LeftThumb3
44,4.4373425918681914e-29,6.039716305598372e-31,1.601880675664417e-28,3.7129700834628133e-19,1.2535927533562044e-19,2.481145015218552e-19,LeftIndex0
45,7.86574634853262e-06,1.658430744499079e-05,3.292513183303142e-05,0.03805131411294493,0.01967841133895185,0.046930735229111675,LeftIndex1
46,1.8635102359551225e-05,7.854570597450089e-07,1.0727431342112495e-06,0.043283083496437426,0.012133625174923095,0.01021055527714693,LeftIndex2
47,4.568451084772468e-05,4.95419395763965e-07,4.072314211286513e-07,0.08932140708430328,0.002491231992879363,0.010119046752332798,LeftIndex3
48,4.4373425918681914e-29,9.98402083170343e-31,1.560003254953661e-32,3.7129700834628133e-19,1.2535927533562044e-19,2.481145015218552e-19,LeftMiddle0
49,3.407840502849503e-05,1.5672814866587314e-05,5.357486092048374e-05,0.029640793083226657,0.07102345677460907,0.3844412771965748,LeftMiddle1
50,8.508288464825254e-05,4.928415341153271e-07,1.425327601205363e-06,0.22630251792665432,0.007787963204627088,0.05948848916116602,LeftMiddle2
51,0.00012124270555814369,2.1653712452196542e-07,6.402013671411072e-06,0.11165012580078305,0.045613719297130935,0.0424553827092111,LeftMiddle3
52,4.4373425918681914e-29,1.7749370367472766e-30,3.332937324558775e-29,3.7129700834628133e-19,1.2535927533562044e-19,2.481145015218552e-19,LeftRing0
53,3.487168318179978e-05,4.0435503726595715e-05,9.790369306224092e-06,0.07524751142300203,0.003600843373125385,0.016941146185440136,LeftRing1
54,0.00012283329277757593,3.01088927074168e-08,5.139140463859123e-06,0.10502445083752376,0.007026246252764693,0.01199653027005618,LeftRing2
55,8.050718061867046e-05,3.3488484285952476e-07,1.575249555302521e-06,0.022010122096624847,0.0024277980462950465,0.030844013773521063,LeftRing3
56,2.5559093329160782e-28,1.7749370367472766e-30,4.735137583589123e-28,3.7129700834628133e-19,1.2535927533562044e-19,2.481145015218552e-19,LeftPinky0
57,2.1432241745021148e-05,4.784726975747749e-05,1.6410706383393965e-05,0.04705206741922724,0.0035063735262149992,0.020689001304916355,LeftPinky1
58,2.3289292629206118e-05,2.1348099052843982e-07,1.6529990796657635e-06,0.0370004181677392,0.005645661133303432,0.021474169503389793,LeftPinky2
59,3.421131709998905e-05,2.0756271905640935e-07,2.077382699112652e-06,0.0707462262609262,0.008276195295764547,0.026215632973452013,LeftPinky3
60,6.043545445985206e-32,3.6805094393991527e-26,5.369184536160512e-29,1.3331613691202113,9.290147990627306,0.5285188095147748,Neck
61,8.81295738934608e-32,6.676918701790644e-27,4.930380657631324e-30,9.893139806122683,28.33819585059224,16.469232750855607,Head
62,1.7015017238763095e-30,8.590695257856819e-28,6.389773332290196e-29,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,Jaw_Root
63,0.0005105985977517486,0.021758641584170308,0.19379758153382248,0.06770316672341455,14.793321234375336,0.0003526241644933328,Low_Teeth01
64,2.3736064654271454e-30,1.232595164407831e-28,1.597443333072549e-29,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,Up_Teeth01
65,1.6919182358752797e-30,5.4357446750385345e-30,9.545216953174243e-29,5.525074685161162e-31,2.7044313817086214e-30,2.143069643164113e-30,Tongue01
66,3.594247499413235e-29,1.676040534102992e-31,2.3863042382935607e-29,5.56859030537305e-31,2.315636655320521e-30,1.7990114386838953e-30,Tongue04
67,3.594247499413235e-29,1.676040534102992e-31,2.3863042382935607e-29,5.56859030537305e-31,2.315636655320521e-30,1.7990114386838953e-30,Tongue03
68,2.2407055451927746e-30,3.1554436208840472e-30,3.1554436208840472e-30,5.56859030537305e-31,2.315636655320521e-30,1.7990114386838953e-30,Tongue02
69,1.8383391854848102e-30,6.749691120297282e-29,8.590695257856819e-28,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,Center_Up_Jaw
70,0.0026951837227502007,0.06719416436616117,0.009252651903193434,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,Center_Low_Mouth
71,0.0003789667980920098,0.00014274795280782597,0.00047446268287700666,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,Center_Jaw
72,0.01984887162637661,0.0668151731140253,0.08105973877629291,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,R_Cheek03
73,0.02980525635868398,0.04456721565720147,0.13895160321220199,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,R_Side_Mouth
74,0.03178834959294149,0.060153324489209764,0.013416003869093494,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,R_Low_Mouth
75,0.000467919961190185,0.006180367409096613,3.932336154558369e-05,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,R_Jaw01
76,0.000760150921837495,0.00889887889138243,0.0003136883821828873,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,R_Jaw02
77,0.024913022565313515,0.045354080814051956,0.07896961180370927,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,L_Cheek03
78,0.030533264763550286,0.0553835955061603,0.11227248563684776,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,L_Side_Mouth
79,0.01746952287799229,0.04719791729405772,0.011436616823809429,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,L_Low_Mouth
80,4.7320918076473955e-05,0.002991438947666615,0.00037741476593114036,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,L_Jaw01
81,3.8285730750075654e-05,0.003281273061185012,0.0009367031010863249,6.265182690108592e-31,2.647400426565004e-30,1.6758319206772218e-30,L_Jaw02
82,0.0012085839400629121,0.06548418185858672,0.005398494701102431,3.5705069013591194e-14,1.607283287949817e-13,6.219330797173736e-14,R_Up_Eye
83,0.0013818622367993381,0.06548418185858672,0.005508664370489232,1.1936352153461921e-13,2.8607493599760947e-13,1.9694361874284675e-13,L_Up_Eye
84,0.012084878414362035,0.007463613525819343,0.0024716832687519076,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Brow02
85,0.008321973842566237,0.0006794154657591926,0.014140976986008332,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Cheek04
86,0.0003561393864534281,0.0005634086383705238,0.00011420994841536814,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Cheek01
87,0.00302456744995371,0.0055295253680324825,0.00013943514529383782,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Brow01
88,0.015746988969794512,0.012495171126844137,0.002854393379224675,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Up_Mouth
89,6.988711189246288e-11,1.1448107701011732e-10,1.9721522630525295e-27,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Nose
90,1.111842960509276e-05,0.00028673843362489893,7.527966748903117e-05,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Low_Eye
91,7.714665511906934e-05,0.00029840600218875203,0.0002334823649305017,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Cheek02
92,0.016047276681304738,0.0011043480612367659,0.014856363500184603,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,R_Brow03
93,0.004297457287297068,0.020595525805735846,0.0015002631069245276,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Brow02
94,0.0001586098775943275,0.00012566622897710597,8.538549189425067e-06,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Cheek04
95,0.001619801027780941,0.0005431510519613316,0.0013376515264335272,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Cheek01
96,0.0017215400042590384,0.013519424718837873,0.00018057121934107273,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Brow01
97,0.01022458707063932,0.01219682893582228,0.003291649493297452,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Up_Mouth
98,4.5505236098713916e-10,1.2094267032372034e-10,2.4708866000609534e-09,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Nose
99,1.1609772735480545e-05,0.00020899612901793653,6.0880201162809656e-05,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Low_Eye
100,9.216954610699954e-05,0.0003150364997785946,0.00018456122921978993,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Cheek02
101,0.006394743670729031,0.003916528692680963,0.00760393300017023,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,L_Brow03
102,1.249032839484292e-13,2.781544548570263e-11,1.2129525278678278e-26,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,Nose_Top
103,0.0012223164165235862,0.009358857636973007,0.016675809464083393,3.2054782373290495e-31,2.624029292575884e-30,2.234435399275817e-30,Center_Up_Mouth
104,0.0,9.545216953174243e-29,9.545216953174243e-27,0.06376742962906777,6.984946597269062,4.076966166971869,RightEye
105,0.0,9.545216953174243e-29,9.545216953174243e-27,0.06216636234760839,6.837639517754679,4.0428412709478625,LeftEye
106,4.8148248609680896e-33,1.135959703518257e-28,2.473867798773093e-27,1.8216148653148334e-32,2.7729483955269406e-31,3.474694400452911e-32,Tongue05
